path,bx1,by1,bx2,by2,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
data/pictures/006412.jpg,12,108,639,740,192.39,140.64,231.07,136.09,272.79,148.22,366.08,155.81,419.17,144.43,476.05,155.05,203.77,187.66,267.48,206.62,371.39,214.21,454.06,213.45,249.28,312.81,296.76,346.42,355.34,329.4,294.91,373.28,294.07,411.1,293.23,456.49,236.19,194.75,408.55,208.9,293.27,300.67,235.23,397.65,382.0,414.44
data/pictures/009360.jpg,116,12,260,155,26.1,35.91,43.65,31.72,59.9,33.71,77.51,34.33,87.01,32.19,95.36,32.88,31.59,49.35,55.25,47.96,79.83,46.8,95.83,45.87,60.35,72.3,78.2,72.54,90.49,68.13,82.54,86.68,84.23,93.17,85.39,98.97,45.51,45.87,87.71,44.94,78.9,60.25,62.73,99.42,96.29,95.96
data/pictures/007655.jpg,299,176,331,207,8.13,7.07,11.03,6.96,13.93,7.35,17.34,7.33,19.95,7.18,22.31,7.46,9.27,9.54,12.91,9.73,18.01,9.63,21.65,9.54,13.28,15.78,16.83,16.49,19.35,16.0,16.94,19.78,17.0,20.87,17.05,21.86,11.06,9.36,20.17,9.59,16.51,15.29,12.51,20.54,20.5,20.54
data/pictures/001226.jpg,457,61,548,152,14.13,34.13,21.01,28.04,29.85,25.1,45.37,17.83,51.06,13.31,57.15,11.34,20.42,41.6,33.58,35.51,48.9,27.45,60.3,20.77,43.4,50.83,52.44,48.08,57.74,42.58,56.09,53.09,58.02,56.25,59.6,59.05,27.29,37.28,54.8,23.13,50.9,44.07,44.97,61.64,64.62,51.23
data/pictures/006843.jpg,353,125,432,204,14.49,19.06,23.64,16.1,32.78,19.45,44.76,19.19,54.3,17.0,63.19,19.7,17.71,25.89,31.69,26.68,46.82,27.05,59.19,27.18,31.55,40.58,38.76,41.82,47.11,39.41,38.57,46.03,38.33,51.82,38.58,58.74,24.54,25.89,53.01,27.05,38.27,37.81,26.08,47.27,53.78,46.5
data/pictures/001657.jpg,187,130,237,180,11.57,11.99,16.09,10.65,20.86,10.65,29.91,11.66,32.84,10.99,35.69,11.74,12.41,15.51,20.03,15.26,29.24,15.76,35.35,16.43,21.7,25.48,26.64,27.23,30.16,25.14,26.22,30.42,25.81,32.93,25.47,35.02,16.34,14.76,32.59,15.93,27.73,24.33,17.26,31.67,30.49,31.84
data/pictures/009657.jpg,128,27,226,128,20.46,30.15,27.98,26.69,35.26,28.17,52.15,23.49,58.81,19.66,67.45,18.18,25.02,37.05,37.48,35.33,56.35,31.75,67.82,27.43,41.96,53.83,51.87,56.78,61.65,48.28,53.39,62.58,54.65,66.52,55.98,70.11,31.06,35.82,61.4,28.91,49.32,52.84,42.9,65.79,70.28,58.51
data/pictures/002893.jpg,97,94,205,202,21.61,43.38,24.88,33.56,34.92,27.96,52.28,19.65,62.51,15.15,71.71,14.95,29.79,47.26,42.88,41.53,58.62,32.33,70.69,25.58,48.93,59.12,60.66,58.07,67.62,49.1,63.12,62.19,66.6,67.92,69.87,74.05,35.51,44.19,64.55,28.24,59.08,52.29,52.08,72.25,76.24,59.82
data/pictures/009229.jpg,54,221,403,570,77.31,82.8,106.54,78.63,145.19,82.65,197.88,82.0,234.23,74.45,267.64,78.63,93.42,110.85,139.41,115.42,206.87,116.06,254.42,110.92,138.77,180.95,172.82,197.66,207.52,181.59,175.39,218.22,176.03,230.43,177.32,241.99,117.28,110.25,229.36,110.92,169.61,181.59,133.63,214.36,227.43,213.72
data/pictures/006397.jpg,0,124,535,719,92.35,79.42,158.93,101.97,224.44,144.93,327.53,180.37,380.15,170.7,423.11,173.92,96.65,139.56,191.15,181.44,315.72,213.66,399.48,226.54,152.49,304.94,214.77,352.19,291.02,323.19,196.7,374.53,185.78,385.48,179.34,392.99,139.6,161.04,362.97,216.88,224.44,330.71,113.83,327.49,268.47,357.55
data/pictures/005887.jpg,221,127,316,222,19.39,27.88,27.47,26.38,36.5,25.01,50.47,23.64,57.04,19.39,65.93,16.25,21.86,35.27,36.64,31.85,54.98,28.98,68.4,23.09,40.13,48.88,50.45,51.6,57.58,44.17,49.39,57.43,52.89,62.21,55.12,66.89,29.52,35.55,62.24,26.79,49.51,46.22,41.42,64.5,62.6,56.3
data/pictures/005270.jpg,114,192,560,637,139.71,67.2,187.33,75.86,217.63,95.65,275.75,122.86,321.51,125.95,352.43,141.41,144.04,109.87,199.08,135.84,270.19,160.57,329.55,172.32,166.92,210.04,200.31,242.2,245.45,239.11,189.28,269.65,184.19,286.28,176.2,302.18,171.25,119.76,302.96,166.76,208.35,218.7,138.48,266.31,234.15,295.89
data/pictures/001871.jpg,108,94,174,160,14.63,16.39,20.04,16.04,25.56,16.88,35.09,15.1,41.37,12.54,48.13,12.75,18.28,22.27,26.27,22.15,37.91,21.68,46.72,18.86,27.8,34.26,33.44,36.73,38.73,32.5,34.5,39.9,35.44,43.43,36.54,47.02,22.15,22.27,42.14,19.8,31.54,34.22,28.27,41.2,45.67,39.55
data/pictures/001639.jpg,1911,723,2033,845,56.0,26.09,57.52,26.96,58.39,27.39,62.09,28.26,72.2,30.16,79.83,37.58,57.77,37.38,59.42,37.58,63.17,38.04,72.74,40.65,47.96,57.83,56.87,63.48,65.13,59.78,53.86,72.62,56.65,80.43,59.01,89.73,58.6,37.58,67.3,40.0,48.83,56.09,59.91,78.7,66.84,81.49
data/pictures/003896.jpg,97,81,240,221,37.76,32.03,50.2,28.37,61.39,32.42,83.61,33.17,97.9,29.7,107.51,35.9,44.11,41.94,57.4,46.65,84.11,47.4,99.33,44.9,57.9,72.17,69.38,78.56,79.45,72.17,69.52,86.63,69.38,91.39,69.52,96.58,50.66,44.4,92.09,46.15,69.38,71.2,54.96,89.37,84.36,89.33
data/pictures/005302.jpg,77,59,460,443,89.93,99.67,116.78,89.14,148.38,91.77,223.15,88.09,254.74,80.71,286.34,79.14,106.25,124.95,156.8,129.69,214.2,127.58,265.54,111.51,164.17,206.04,192.61,219.2,220.52,199.19,195.77,230.26,197.87,244.48,198.93,258.7,129.42,124.95,239.82,114.43,190.5,207.09,176.29,244.48,225.78,237.11
data/pictures/009305.jpg,80,90,229,239,33.68,32.67,47.86,32.41,60.98,34.51,86.71,33.2,100.88,31.36,112.69,34.51,42.87,47.9,61.56,49.6,87.72,50.47,105.08,49.47,58.88,76.51,74.11,83.59,88.28,78.34,74.37,91.99,74.63,97.24,74.0,103.65,52.32,47.63,97.2,49.21,74.37,76.24,54.05,90.57,93.39,91.29
data/pictures/000090.jpg,207,35,238,65,6.7,7.74,9.74,6.68,13.16,7.31,17.45,7.32,20.5,6.75,23.22,7.69,8.17,9.2,12.46,9.26,18.03,9.38,22.09,9.67,13.1,14.65,15.65,15.93,18.43,14.94,15.88,18.77,15.94,20.04,16.0,21.38,10.18,9.31,20.17,9.55,15.65,14.19,11.83,19.81,19.25,19.81
data/pictures/006009.jpg,0,0,479,553,91.35,38.22,146.34,32.62,196.68,53.13,295.02,53.87,353.28,41.01,392.43,55.93,105.33,81.1,187.36,110.92,291.76,114.65,375.65,111.86,177.1,241.42,241.42,267.52,285.23,239.56,232.1,302.94,232.1,321.58,227.44,343.95,144.48,91.35,339.29,113.72,240.49,231.17,149.14,298.28,296.42,305.74
data/pictures/001228.jpg,344,158,411,225,11.82,18.11,19.62,14.83,27.69,15.51,36.32,15.1,44.12,12.64,50.83,14.83,15.51,23.45,24.68,21.53,38.37,19.76,48.36,20.85,25.78,34.4,34.95,36.32,41.66,32.62,35.5,39.6,36.04,43.57,36.32,47.4,20.17,21.67,43.71,20.17,34.67,32.76,24.55,43.57,43.71,41.93
data/pictures/004465.jpg,0,132,474,607,99.16,97.17,140.54,107.16,181.2,120.0,285.35,118.57,333.86,110.01,375.95,114.29,109.15,134.98,176.92,160.66,291.06,162.8,365.96,141.4,184.77,254.82,229.71,272.66,280.36,249.12,233.99,294.77,233.99,306.19,232.56,319.74,145.53,147.82,331.01,151.39,229.71,251.26,185.48,289.07,291.06,290.49
data/pictures/000744.jpg,235,79,344,188,27.35,18.3,40.52,19.14,50.71,23.53,64.8,27.93,79.46,29.52,87.65,35.71,30.94,28.73,45.31,32.53,66.28,37.51,81.45,41.95,41.12,51.89,52.1,56.88,63.29,58.28,49.31,65.07,47.91,70.46,46.51,75.45,38.33,30.92,73.67,40.71,54.3,49.49,35.73,67.66,59.33,73.05
data/pictures/008945.jpg,146,119,218,190,17.87,20.44,22.41,18.82,26.89,19.32,36.04,17.07,43.07,13.55,52.16,13.55,19.77,26.3,28.71,24.98,40.45,22.28,50.99,19.85,29.44,37.58,37.06,39.49,43.51,35.24,38.38,44.03,39.26,46.52,40.0,49.01,24.17,25.57,45.42,20.88,34.13,34.94,31.57,48.31,49.58,42.88
data/pictures/006568.jpg,46,95,556,605,117.43,120.51,159.93,118.14,198.58,127.95,291.37,122.27,336.17,100.99,378.49,95.48,141.1,170.56,207.38,175.97,296.65,173.26,361.58,155.0,209.41,265.24,258.1,280.8,299.94,259.58,260.23,313.04,262.69,333.96,264.53,353.03,176.4,170.19,330.47,156.35,250.67,262.86,203.8,317.78,318.29,313.26
data/pictures/007194.jpg,284,169,322,207,10.83,8.46,13.7,7.8,16.67,9.54,20.58,9.47,24.75,8.88,28.57,9.91,12.03,12.02,16.37,12.47,22.56,13.01,27.71,13.45,15.12,19.34,17.13,20.82,21.25,19.57,19.03,23.16,19.18,25.47,19.18,28.51,14.07,12.07,24.52,12.92,16.76,18.09,16.2,24.43,24.17,24.88
