,path,bx1,by1,bx2,by2,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
0,D:/cv_learn/projectII/pictures/001424.jpg,217,26,303,114,11.75,21.5,22.67,17.24,33.93,19.04,49.58,18.84,57.28,16.71,64.15,18.26,20.97,26.8,32.4,27.48,50.01,26.88,60.85,25.64,33.6,43.01,44.35,45.4,53.91,41.82,43.67,50.86,43.84,57.18,44.18,63.15,26.94,26.28,55.79,25.43,46.06,40.28,28.65,56.14,54.59,54.79
1,D:/cv_learn/projectII/pictures/001424.jpg,0,33,131,183,25.37,27.45,35.63,25.74,46.46,29.73,69.26,32.01,88.07,30.01,102.32,38.28,28.79,39.71,44.46,46.26,69.55,48.83,90.08,48.47,38.86,71.29,50.16,79.61,64.42,75.33,49.88,91.01,49.88,97.85,49.88,104.69,37.05,42.56,79.81,47.4,49.88,68.78,32.7,91.28,74.39,95.29
2,D:/cv_learn/projectII/pictures/001353.jpg,22,0,179,142,35.39,32.24,46.82,21.69,60.6,22.27,78.77,20.52,93.53,15.57,111.3,17.88,43.3,37.51,60.01,34.58,88.73,30.48,106.02,28.72,65.38,64.26,79.06,68.87,94.19,61.49,80.23,81.48,81.4,88.51,82.58,94.37,51.22,35.17,97.52,28.43,75.63,59.55,62.94,92.9,101.33,86.46
3,D:/cv_learn/projectII/pictures/001353.jpg,196,60,354,218,31.6,45.05,42.91,38.45,56.1,39.71,83.1,32.8,95.35,25.89,108.54,26.21,40.41,54.32,60.81,50.7,86.56,43.79,105.27,38.15,61.61,81.65,79.78,83.74,94.67,72.71,83.65,92.97,86.03,102.21,88.44,110.99,49.19,51.33,95.98,40.65,76.5,75.1,66.77,106.59,103.83,94.98
4,D:/cv_learn/projectII/pictures/001106.jpg,0,69,73,148,12.31,16.75,20.43,14.32,27.86,16.89,36.12,16.35,43.01,13.37,50.18,14.59,16.64,25.41,26.11,26.49,39.36,26.63,48.43,24.73,25.57,38.13,33.28,40.97,40.31,37.86,33.28,44.08,33.68,51.38,34.36,58.69,21.51,26.22,43.83,25.14,33.14,34.2,22.86,51.79,42.88,49.76
5,D:/cv_learn/projectII/pictures/001106.jpg,201,50,283,132,19.46,15.86,25.82,15.48,32.57,18.03,41.85,18.03,48.98,14.59,58.01,15.23,23.66,23.88,32.95,26.04,44.91,25.4,55.72,22.99,31.68,41.18,38.93,44.1,47.71,40.42,40.84,48.81,41.22,52.76,41.6,56.32,28.24,24.51,49.61,23.37,38.04,39.27,33.71,51.1,49.36,50.47
6,D:/cv_learn/projectII/pictures/000222.jpg,175,53,219,97,11.44,7.86,14.29,8.19,18.47,9.52,24.7,10.31,28.64,9.83,32.11,10.23,12.25,12.75,17.59,13.46,24.77,14.17,30.93,14.65,16.75,21.41,20.57,23.28,24.93,21.28,20.67,26.96,20.43,28.93,20.12,30.67,14.91,13.38,27.93,15.12,21.46,20.33,15.38,28.69,25.01,29.24
7,D:/cv_learn/projectII/pictures/001700.jpg,400,251,458,309,12.79,10.57,19.91,9.26,26.04,11.45,33.16,12.87,39.07,12.65,44.0,15.17,15.31,15.06,23.41,16.48,34.25,18.78,41.48,19.55,21.33,27.22,27.46,30.39,33.71,28.31,26.7,34.33,26.37,37.29,26.04,40.36,19.58,15.94,38.09,19.44,28.89,25.35,17.72,36.19,34.47,38.38
8,D:/cv_learn/projectII/pictures/001700.jpg,541,290,611,357,12.4,14.54,17.93,13.3,24.71,13.46,39.72,12.24,44.59,10.28,49.73,11.57,16.19,22.79,27.14,22.25,38.97,19.51,49.6,18.6,24.71,32.94,36.06,35.28,44.05,30.64,36.75,40.11,37.53,43.24,38.51,46.79,22.0,22.12,43.78,19.0,35.01,31.18,23.49,44.03,47.16,39.97
9,D:/cv_learn/projectII/pictures/001700.jpg,666,259,751,344,15.15,22.01,22.29,18.55,31.25,17.99,46.06,17.02,52.99,15.73,58.62,19.6,19.49,29.58,31.25,27.49,47.35,26.04,57.72,25.54,31.25,41.33,43.65,43.43,51.63,39.4,45.21,49.88,46.9,56.31,47.91,63.07,25.71,26.77,52.48,24.52,44.05,37.85,30.12,56.79,54.92,53.73
